               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.015907,            0.018906,           0.0034347,              0.9758,             0.99268,               0.995,             0.87052,            0.012457,           0.0087175,           0.0020603,            0.002344,            0.002344,            0.002344
                  60,            0.015591,            0.019058,           0.0035825,             0.98507,             0.99175,               0.995,             0.87101,            0.011347,           0.0084944,           0.0019534,            0.002212,            0.002212,            0.002212
                  61,            0.015653,            0.019892,           0.0035606,             0.97613,             0.99538,               0.995,             0.86668,            0.011356,            0.008666,           0.0019038,             0.00208,             0.00208,             0.00208
                  62,            0.015076,            0.019877,           0.0032542,             0.97946,             0.99176,               0.995,             0.87054,            0.011783,           0.0087137,           0.0018709,            0.001948,            0.001948,            0.001948
                  63,            0.014762,            0.020759,           0.0033592,             0.97598,             0.99694,               0.995,             0.87901,             0.01151,           0.0084314,           0.0017772,            0.001816,            0.001816,            0.001816
                  64,            0.014565,            0.019486,            0.003507,             0.98103,             0.99725,               0.995,             0.87652,            0.011067,           0.0082979,           0.0017563,            0.001684,            0.001684,            0.001684
                  65,             0.01409,            0.018326,           0.0033009,             0.97966,             0.99722,               0.995,             0.86619,            0.011492,           0.0082455,           0.0017277,            0.001552,            0.001552,            0.001552
                  66,            0.014181,            0.020771,           0.0036561,             0.97876,             0.99603,               0.995,             0.87774,            0.011031,           0.0082893,            0.001681,             0.00142,             0.00142,             0.00142
                  67,            0.014129,            0.019837,           0.0034779,             0.98185,             0.99894,               0.995,             0.88736,            0.010294,           0.0077515,           0.0016204,            0.001288,            0.001288,            0.001288
                  68,            0.013112,            0.018431,             0.00295,             0.98383,             0.99694,               0.995,             0.88869,            0.010612,           0.0080576,           0.0016034,            0.001156,            0.001156,            0.001156
                  69,             0.01355,            0.019266,           0.0032148,              0.9826,             0.99138,               0.995,             0.87678,             0.01048,           0.0078192,           0.0015687,            0.001024,            0.001024,            0.001024
                  70,             0.01319,            0.018419,           0.0030703,             0.97955,             0.99202,               0.995,             0.88002,            0.010514,           0.0079956,           0.0015376,            0.000892,            0.000892,            0.000892
                  71,            0.012829,            0.018215,           0.0037074,             0.97932,             0.99675,               0.995,             0.88627,            0.010306,           0.0077639,           0.0014951,             0.00076,             0.00076,             0.00076
                  72,            0.012848,            0.017469,           0.0034339,             0.98342,             0.99884,               0.995,             0.88484,            0.010379,           0.0077944,           0.0014661,            0.000628,            0.000628,            0.000628
                  73,            0.012865,            0.017418,            0.003138,             0.98391,             0.99752,               0.995,             0.88861,            0.010299,           0.0077715,           0.0014332,            0.000496,            0.000496,            0.000496
                  74,            0.012505,            0.018089,           0.0026844,             0.98059,             0.99645,               0.995,             0.89269,             0.01009,           0.0076342,           0.0014117,            0.000364,            0.000364,            0.000364
